Portfolio,Capacity_min,Capacity_max,Tolerance_min,Tolerance_max
1,1,1,1,3
1,1,1,4,6
1,1,1,7,9
1,2,2,1,3
1,2,2,4,6
1,2,2,7,9
1,3,3,1,3
1,3,3,4,6
1,3,3,7,9
1,3,3,10,12
1,4,4,1,3
1,4,4,4,6
1,4,4,7,9
1,4,4,10,12
1,4,4,13,15
1,4,4,16,16
2,5,5,1,3
2,5,5,4,6
2,5,5,7,9
2,5,5,10,12
2,5,5,13,15
2,5,5,16,16
2,6,6,1,3
2,6,6,4,6
2,6,6,7,9
2,6,6,10,12
2,6,6,13,15
2,6,6,16,16
2,7,7,1,3
2,7,7,4,6
2,7,7,7,9
2,7,7,10,12
2,7,7,13,15
2,7,7,16,16
2,8,8,1,3
2,8,8,4,6
2,8,8,7,9
2,8,8,10,12
3,8,8,13,15
3,8,8,16,16
2,9,9,1,3
2,9,9,4,6
2,9,9,7,9
3,9,9,10,12
3,9,9,13,15
3,9,9,16,16
3,10,10,1,3
3,10,10,4,6
3,10,10,7,9
3,10,10,10,12
4,10,10,13,15
4,10,10,16,16
3,11,11,1,3
3,11,11,4,6
3,11,11,7,9
4,11,11,10,12
4,11,11,13,15
5,11,11,16,16
3,12,12,1,3
3,12,12,4,6
4,12,12,7,9
4,12,12,10,12
5,12,12,13,15
5,12,12,16,16
4,13,13,1,3
4,13,13,4,6
4,13,13,7,9
4,13,13,10,12
5,13,13,13,15
5,13,13,16,16
4,14,14,1,3
4,14,14,4,6
4,14,14,7,9
5,14,14,10,12
5,14,14,13,15
5,14,14,16,16
4,15,15,1,3
4,15,15,4,6
5,15,15,7,9
5,15,15,10,12
5,15,15,13,15
5,15,15,16,16
5,16,16,1,3
5,16,16,4,6
5,16,16,7,9
5,16,16,10,12
5,16,16,13,15
5,16,16,16,16
